No,Kategori Akun,Nama Lengkap,Username / ID Login,Kata Sandi (Password),Email,NIS / NIP,Kelas / Rombel,No. Telepon / WA,Status Kata Sandi
11,Guru BK,"Tri Wahyuningsih, S.Psi.",tri.wahyuningsih@smk.sch.id,guru123,tri.wahyuningsih@smk.sch.id,$sapa$nip$v1$425849516f5d58406d5358455856406f5b57,Semua Kelas (BK Sekolah),081234567819,Sandi Default
12,Guru BK,"Agus Setiawan, S.Pd., Kons.",agus.setiawan@smk.sch.id,guru123,agus.setiawan@smk.sch.id,$sapa$nip$v1$425849536f5b58426d5358495856436f5b53,Semua Kelas (BK Sekolah),081234567820,Sandi Default
13,Wali Kelas,"Drs. H. Ahmad Dahlan, M.Pd.I",h.ahmad.dahlan.guru01@smk.sch.id,guru123,h.ahmad.dahlan.guru01@smk.sch.id,$sapa$nip$v1$425847576f5b58426d5359435957436f5b57,X TKJ 1,081234568001,Sandi Default
14,Wali Kelas,"Siti Aminah, S.Pd., M.H.",siti.aminah.guru02@smk.sch.id,guru123,siti.aminah.guru02@smk.sch.id,$sapa$nip$v1$425848506f5758456d5359465851406f5b5d,X TKJ 2,081234568002,Sandi Default
15,Wali Kelas,"Dewi Sartika, S.Pd., M.Pd.",dewi.sartika.guru03@smk.sch.id,guru123,dewi.sartika.guru03@smk.sch.id,$sapa$nip$v1$425848526f5a5b406d5359485854406f5a50,X TKJ 3,081234568003,Sandi Default
16,Wali Kelas,"Bambang Hermawan, S.Si., M.Pd.",bambang.hermawan.guru04@smk.sch.id,guru123,bambang.hermawan.guru04@smk.sch.id,$sapa$nip$v1$425847586f5c58486d5359455854436f5b53,X TKP 1,081234568004,Sandi Default
17,Wali Kelas,"Stephanie Wong, S.Pd., M.Ed.",stephanie.wong.guru05@smk.sch.id,guru123,stephanie.wong.guru05@smk.sch.id,$sapa$nip$v1$425848546e5f5b446d5358405854406f5954,X TKP 2,081234568005,Sandi Default
18,Wali Kelas,"Drs. Irfan Hakim, M.Hum.",irfan.hakim.guru06@smk.sch.id,guru123,irfan.hakim.guru06@smk.sch.id,$sapa$nip$v1$425847556f5658406e5a50495856436f5b51,X TO 1,081234568006,Sandi Default
19,Wali Kelas,"Hendra Gunawan, S.Pd.",hendra.gunawan.guru07@smk.sch.id,guru123,hendra.gunawan.guru07@smk.sch.id,$sapa$nip$v1$425848536f5958496d5359465851436f5b5c,X TO 2,081234568007,Sandi Default
20,Wali Kelas,"Maya Indrawati, S.Sn., M.Sn.",maya.indrawati.guru08@smk.sch.id,guru123,maya.indrawati.guru08@smk.sch.id,$sapa$nip$v1$425848576e5e59456d5358415854406f5a5d,X TO 3,081234568008,Sandi Default
21,Wali Kelas,"Budi Hartono, S.T., M.Kom.",budi.hartono.guru09@smk.sch.id,guru123,budi.hartono.guru09@smk.sch.id,$sapa$nip$v1$425848506f5c58446d5359465851436f5b57,X DKV 1,081234568009,Sandi Default
22,Wali Kelas,"Dr. Eni Sulistiyowati, M.Si.",eni.sulistiyowati.guru10@smk.sch.id,guru123,eni.sulistiyowati.guru10@smk.sch.id,$sapa$nip$v1$425847566f5d5b416d5359425957406f5b56,X DKV 2,081234568010,Sandi Default
23,Wali Kelas,"Ir. Dian Permana, M.T.",dian.permana.guru11@smk.sch.id,guru123,dian.permana.guru11@smk.sch.id,$sapa$nip$v1$425848516f5858456d5359455854436f5b52,X AKL,081234568011,Sandi Default
24,Wali Kelas,"Ir. Hendra Saputra, S.Pd.",hendra.saputra.guru12@smk.sch.id,guru123,hendra.saputra.guru12@smk.sch.id,$sapa$nip$v1$425847586f5858486d5359455854436f5b56,XI TKJ 1,081234568012,Sandi Default
25,Wali Kelas,"Drs. H. Mulyadi, M.Pd.",h.mulyadi.guru13@smk.sch.id,guru123,h.mulyadi.guru13@smk.sch.id,$sapa$nip$v1$425847526f5b58406e5a50485857436f5b54,XI TKJ 2,081234568013,Sandi Default
26,Wali Kelas,"Rahmat Hidayat, S.Ds., M.Sn.",rahmat.hidayat.guru14@smk.sch.id,guru123,rahmat.hidayat.guru14@smk.sch.id,$sapa$nip$v1$425848566f5658426d5358425854436f5b50,XI TKJ 3,081234568014,Sandi Default
27,Wali Kelas,"Sri Mulyani Indrawati, S.E., M.Ak.",sri.mulyani.indrawati.guru15@smk.sch.id,guru123,sri.mulyani.indrawati.guru15@smk.sch.id,$sapa$nip$v1$425848556f5f5a406d5359485854406f5a57,XI TKP 1,081234568015,Sandi Default
28,Wali Kelas,"Dwi Lestari, S.Pd., M.Hum.",dwi.lestari.guru16@smk.sch.id,guru123,dwi.lestari.guru16@smk.sch.id,$sapa$nip$v1$425848576f5d58476d5358405854406f5950,XI TKP 2,081234568016,Sandi Default
29,Wali Kelas,"Robert Simanjuntak, S.Pd., M.A.",robert.simanjuntak.guru17@smk.sch.id,guru123,robert.simanjuntak.guru17@smk.sch.id,$sapa$nip$v1$425848536e5c59456d5359495857436f5b56,XI TO 1,081234568017,Sandi Default
30,Wali Kelas,"Agung Nugroho, S.Si., M.Sc.",agung.nugroho.guru18@smk.sch.id,guru123,agung.nugroho.guru18@smk.sch.id,$sapa$nip$v1$425848546f5b58446d5358405854436f5a51,XI TO 2,081234568018,Sandi Default
31,Wali Kelas,"Fikri Alamsyah, S.Kom., M.T.",fikri.alamsyah.guru19@smk.sch.id,guru123,fikri.alamsyah.guru19@smk.sch.id,$sapa$nip$v1$425848596f575b426d5358445857436f5b51,XI TO 3,081234568019,Sandi Default
32,Wali Kelas,"Anita Wijaya, S.T., M.Eng.",anita.wijaya.guru20@smk.sch.id,guru123,anita.wijaya.guru20@smk.sch.id,$sapa$nip$v1$425848566f5a58466d5358415854406f5a5c,XI DKV 1,081234568020,Sandi Default
33,Wali Kelas,"Joko Priyono, S.T., M.Pd.",joko.priyono.guru21@smk.sch.id,guru123,joko.priyono.guru21@smk.sch.id,$sapa$nip$v1$425848516f5f5b486d5359465851436f5a54,XI DKV 2,081234568021,Sandi Default
34,Wali Kelas,"Cindy Claudia, S.Sn.",cindy.claudia.guru22@smk.sch.id,guru123,cindy.claudia.guru22@smk.sch.id,$sapa$nip$v1$425849506f5a59486d5358455856406f5b52,XI AKL,081234568022,Sandi Default
35,Wali Kelas,"Hadi Purnomo, S.E., Ak., CA",hadi.purnomo.guru23@smk.sch.id,guru123,hadi.purnomo.guru23@smk.sch.id,$sapa$nip$v1$425847596f595b456d5359435957436f5b51,XII TKJ 1,081234568023,Sandi Default
36,Wali Kelas,"Rina Marlina, S.E., M.M.",rina.marlina.guru24@smk.sch.id,guru123,rina.marlina.guru24@smk.sch.id,$sapa$nip$v1$425848526f5658496d5359485854406f5a52,XII TKJ 2,081234568024,Sandi Default
37,Wali Kelas,"Daniel Kristianto, S.Th., M.Pd.K.",daniel.kristianto.guru25@smk.sch.id,guru123,daniel.kristianto.guru25@smk.sch.id,$sapa$nip$v1$425848516f5a58416d5359465851436f5a50,XII TKJ 3,081234568025,Sandi Default
38,Wali Kelas,"Drs. Surya Kencana, M.Si.",surya.kencana.guru26@smk.sch.id,guru123,surya.kencana.guru26@smk.sch.id,$sapa$nip$v1$425847536f5d58446e5a50475857436f5b57,XII TKP 1,081234568026,Sandi Default
39,Wali Kelas,"Ki Ageng Supriyadi, S.Pd.",supriyadi.guru27@smk.sch.id,guru123,supriyadi.guru27@smk.sch.id,$sapa$nip$v1$425847546f575b406d5359405856436f5b56,XII TKP 2,081234568027,Sandi Default
40,Wali Kelas,"Wahyu Hidayat, S.Kom., M.Cs.",wahyu.hidayat.guru28@smk.sch.id,guru123,wahyu.hidayat.guru28@smk.sch.id,$sapa$nip$v1$425848576f5958486d5358405854436f5a53,XII TO 1,081234568028,Sandi Default
41,Wali Kelas,"Ir. Agus Prasetyo, M.T.",agus.prasetyo.guru29@smk.sch.id,guru123,agus.prasetyo.guru29@smk.sch.id,$sapa$nip$v1$425847556e5f5b496d5359415957436f5b57,XII TO 2,081234568029,Sandi Default
42,Wali Kelas,"Edi Sutrisno, S.T.",edi.sutrisno.guru30@smk.sch.id,guru123,edi.sutrisno.guru30@smk.sch.id,$sapa$nip$v1$425848506f5659446d5359475854436f5a56,XII TO 3,081234568030,Sandi Default
43,Wali Kelas,"Bayu Wisesa, S.Sn., M.Sn.",bayu.wisesa.guru31@smk.sch.id,guru123,bayu.wisesa.guru31@smk.sch.id,$sapa$nip$v1$425848586f5c58416d5358445857436f5b5d,XII DKV 1,081234568031,Sandi Default
44,Wali Kelas,"Nurul Fajriah, S.E.I., M.E.",nurul.fajriah.guru32@smk.sch.id,guru123,nurul.fajriah.guru32@smk.sch.id,$sapa$nip$v1$425848596f5b5b466d5358425854406f5a51,XII DKV 2,081234568032,Sandi Default
45,Wali Kelas,"Dr. Wibowo Santoso, M.Pd.",wibowo.santoso.guru33@smk.sch.id,guru123,wibowo.santoso.guru33@smk.sch.id,$sapa$nip$v1$425847576f5658446d5359425957436f5b54,XII AKL,081234568033,Sandi Default
46,Siswa,Desta Wahyuni,24250101,siswa0101,desta.wahyuni.24250101@siswa.belajar.id,24250101,X TKJ 1,0824010001,Sandi Default
47,Siswa,Keisha Haikal,24250102,siswa0102,keisha.haikal.24250102@siswa.belajar.id,24250102,X TKJ 1,0824010002,Sandi Default
48,Siswa,Tegar Santoso,24250103,siswa0103,tegar.santoso.24250103@siswa.belajar.id,24250103,X TKJ 1,0824010003,Sandi Default
49,Siswa,Alifa Sudrajat,24250104,siswa0104,alifa.sudrajat.24250104@siswa.belajar.id,24250104,X TKJ 1,0824010004,Sandi Default
50,Siswa,Fadhil Wijaya,24250105,siswa0105,fadhil.wijaya.24250105@siswa.belajar.id,24250105,X TKJ 1,0824010005,Sandi Default
51,Siswa,Laras Pangestu,24250106,siswa0106,laras.pangestu.24250106@siswa.belajar.id,24250106,X TKJ 1,0824010006,Sandi Default
52,Siswa,Wawan Kuncoro,24250107,siswa0107,wawan.kuncoro.24250107@siswa.belajar.id,24250107,X TKJ 1,0824010007,Sandi Default
53,Siswa,Anindya Rahmawati,24250108,siswa0108,anindya.rahmawati.24250108@siswa.belajar.id,24250108,X TKJ 1,0824010008,Sandi Default
54,Siswa,Farhan Nugraha,24250109,siswa0109,farhan.nugraha.24250109@siswa.belajar.id,24250109,X TKJ 1,0824010009,Sandi Default
55,Siswa,Maulida Hidayat,24250110,siswa0110,maulida.hidayat.24250110@siswa.belajar.id,24250110,X TKJ 1,0824010010,Sandi Default
56,Siswa,Yusuf Wibowo,24250111,siswa0111,yusuf.wibowo.24250111@siswa.belajar.id,24250111,X TKJ 1,0824010011,Sandi Default
57,Siswa,Annisa Ramadhan,24250112,siswa0112,annisa.ramadhan.24250112@siswa.belajar.id,24250112,X TKJ 1,0824010012,Sandi Default
58,Siswa,Galih Firmansyah,24250113,siswa0113,galih.firmansyah.24250113@siswa.belajar.id,24250113,X TKJ 1,0824010013,Sandi Default
59,Siswa,Nadira Hakim,24250114,siswa0114,nadira.hakim.24250114@siswa.belajar.id,24250114,X TKJ 1,0824010014,Sandi Default
60,Siswa,Zidan Anggraini,24250115,siswa0115,zidan.anggraini.24250115@siswa.belajar.id,24250115,X TKJ 1,0824010015,Sandi Default
61,Siswa,Aurelia Wardhana,24250116,siswa0116,aurelia.wardhana.24250116@siswa.belajar.id,24250116,X TKJ 1,0824010016,Sandi Default
62,Siswa,Hafiz Utomo,24250117,siswa0117,hafiz.utomo.24250117@siswa.belajar.id,24250117,X TKJ 1,0824010017,Sandi Default
63,Siswa,Nayra Kuswanto,24250118,siswa0118,nayra.kuswanto.24250118@siswa.belajar.id,24250118,X TKJ 1,0824010018,Sandi Default
64,Siswa,Bintang Kusuma,24250119,siswa0119,bintang.kusuma.24250119@siswa.belajar.id,24250119,X TKJ 1,0824010019,Sandi Default
65,Siswa,Chelsea Mahendra,24250120,siswa0120,chelsea.mahendra.24250120@siswa.belajar.id,24250120,X TKJ 1,0824010020,Sandi Default
66,Siswa,Indra Baskara,24250121,siswa0121,indra.baskara.24250121@siswa.belajar.id,24250121,X TKJ 1,0824010021,Sandi Default
67,Siswa,Nurul Permatasari,24250122,siswa0122,nurul.permatasari.24250122@siswa.belajar.id,24250122,X TKJ 1,0824010022,Sandi Default
68,Siswa,Dwi Maulana,24250123,siswa0123,dwi.maulana.24250123@siswa.belajar.id,24250123,X TKJ 1,0824010023,Sandi Default
69,Siswa,Clarissa Setiawan,24250124,siswa0124,clarissa.setiawan.24250124@siswa.belajar.id,24250124,X TKJ 1,0824010024,Sandi Default
70,Siswa,Kevin Suhendra,24250125,siswa0125,kevin.suhendra.24250125@siswa.belajar.id,24250125,X TKJ 1,0824010025,Sandi Default
71,Siswa,Raisa Putra,24250126,siswa0126,raisa.putra.24250126@siswa.belajar.id,24250126,X TKJ 1,0824010026,Sandi Default
72,Siswa,Aditya Kurnia,24250127,siswa0127,aditya.kurnia.24250127@siswa.belajar.id,24250127,X TKJ 1,0824010027,Sandi Default
73,Siswa,Devi Pramudya,24250128,siswa0128,devi.pramudya.24250128@siswa.belajar.id,24250128,X TKJ 1,0824010028,Sandi Default
74,Siswa,M. Rizky Lestari,24250129,siswa0129,m.rizky.lestari.24250129@siswa.belajar.id,24250129,X TKJ 1,0824010029,Sandi Default
75,Siswa,Salma Syahputra,24250130,siswa0130,salma.syahputra.24250130@siswa.belajar.id,24250130,X TKJ 1,0824010030,Sandi Default
76,Siswa,Alif Wicaksono,24250131,siswa0131,alif.wicaksono.24250131@siswa.belajar.id,24250131,X TKJ 1,0824010031,Sandi Default
77,Siswa,Dinda Purnomo,24250132,siswa0132,dinda.purnomo.24250132@siswa.belajar.id,24250132,X TKJ 1,0824010032,Sandi Default
78,Siswa,M. Zidan Saputra,24250133,siswa0133,m.zidan.saputra.24250133@siswa.belajar.id,24250133,X TKJ 1,0824010033,Sandi Default
79,Siswa,Shifa Safitri,24250134,siswa0134,shifa.safitri.24250134@siswa.belajar.id,24250134,X TKJ 1,0824010034,Sandi Default
80,Siswa,Gilang Pangestu,24250201,siswa0201,gilang.pangestu.24250201@siswa.belajar.id,24250201,X TKJ 2,0824020001,Sandi Default
81,Siswa,Nafisa Kuncoro,24250202,siswa0202,nafisa.kuncoro.24250202@siswa.belajar.id,24250202,X TKJ 2,0824020002,Sandi Default
82,Siswa,Zulfikar Rahmawati,24250203,siswa0203,zulfikar.rahmawati.24250203@siswa.belajar.id,24250203,X TKJ 2,0824020003,Sandi Default
83,Siswa,Cantika Nugraha,24250204,siswa0204,cantika.nugraha.24250204@siswa.belajar.id,24250204,X TKJ 2,0824020004,Sandi Default
84,Siswa,Ilham Hidayat,24250205,siswa0205,ilham.hidayat.24250205@siswa.belajar.id,24250205,X TKJ 2,0824020005,Sandi Default
85,Siswa,Novalita Wibowo,24250206,siswa0206,novalita.wibowo.24250206@siswa.belajar.id,24250206,X TKJ 2,0824020006,Sandi Default
86,Siswa,Candra Ramadhan,24250207,siswa0207,candra.ramadhan.24250207@siswa.belajar.id,24250207,X TKJ 2,0824020007,Sandi Default
87,Siswa,Citra Firmansyah,24250208,siswa0208,citra.firmansyah.24250208@siswa.belajar.id,24250208,X TKJ 2,0824020008,Sandi Default
88,Siswa,Irfan Hakim,24250209,siswa0209,irfan.hakim.24250209@siswa.belajar.id,24250209,X TKJ 2,0824020009,Sandi Default
89,Siswa,Putri Anggraini,24250210,siswa0210,putri.anggraini.24250210@siswa.belajar.id,24250210,X TKJ 2,0824020010,Sandi Default
90,Siswa,Ahmad Wardhana,24250211,siswa0211,ahmad.wardhana.24250211@siswa.belajar.id,24250211,X TKJ 2,0824020011,Sandi Default
91,Siswa,Delfina Utomo,24250212,siswa0212,delfina.utomo.24250212@siswa.belajar.id,24250212,X TKJ 2,0824020012,Sandi Default
92,Siswa,Lucky Kuswanto,24250213,siswa0213,lucky.kuswanto.24250213@siswa.belajar.id,24250213,X TKJ 2,0824020013,Sandi Default
93,Siswa,Rania Kusuma,24250214,siswa0214,rania.kusuma.24250214@siswa.belajar.id,24250214,X TKJ 2,0824020014,Sandi Default
94,Siswa,Aldiansyah Mahendra,24250215,siswa0215,aldiansyah.mahendra.24250215@siswa.belajar.id,24250215,X TKJ 2,0824020015,Sandi Default
95,Siswa,Dian Baskara,24250216,siswa0216,dian.baskara.24250216@siswa.belajar.id,24250216,X TKJ 2,0824020016,Sandi Default
96,Siswa,M. Fikri Permatasari,24250217,siswa0217,m.fikri.permatasari.24250217@siswa.belajar.id,24250217,X TKJ 2,0824020017,Sandi Default
97,Siswa,Salsabila Maulana,24250218,siswa0218,salsabila.maulana.24250218@siswa.belajar.id,24250218,X TKJ 2,0824020018,Sandi Default
98,Siswa,Andika Setiawan,24250219,siswa0219,andika.setiawan.24250219@siswa.belajar.id,24250219,X TKJ 2,0824020019,Sandi Default
99,Siswa,Elsa Suhendra,24250220,siswa0220,elsa.suhendra.24250220@siswa.belajar.id,24250220,X TKJ 2,0824020020,Sandi Default
100,Siswa,Naufal Putra,24250221,siswa0221,naufal.putra.24250221@siswa.belajar.id,24250221,X TKJ 2,0824020021,Sandi Default
101,Siswa,Siti Kurnia,24250222,siswa0222,siti.kurnia.24250222@siswa.belajar.id,24250222,X TKJ 2,0824020022,Sandi Default
102,Siswa,Arya Pramudya,24250223,siswa0223,arya.pramudya.24250223@siswa.belajar.id,24250223,X TKJ 2,0824020023,Sandi Default
103,Siswa,Fitri Lestari,24250224,siswa0224,fitri.lestari.24250224@siswa.belajar.id,24250224,X TKJ 2,0824020024,Sandi Default
104,Siswa,Raditya Syahputra,24250225,siswa0225,raditya.syahputra.24250225@siswa.belajar.id,24250225,X TKJ 2,0824020025,Sandi Default
105,Siswa,Tania Wicaksono,24250226,siswa0226,tania.wicaksono.24250226@siswa.belajar.id,24250226,X TKJ 2,0824020026,Sandi Default
106,Siswa,Bayu Purnomo,24250227,siswa0227,bayu.purnomo.24250227@siswa.belajar.id,24250227,X TKJ 2,0824020027,Sandi Default
107,Siswa,Hana Saputra,24250228,siswa0228,hana.saputra.24250228@siswa.belajar.id,24250228,X TKJ 2,0824020028,Sandi Default
108,Siswa,Rangga Safitri,24250229,siswa0229,rangga.safitri.24250229@siswa.belajar.id,24250229,X TKJ 2,0824020029,Sandi Default
109,Siswa,Vania Mahardika,24250230,siswa0230,vania.mahardika.24250230@siswa.belajar.id,24250230,X TKJ 2,0824020030,Sandi Default
110,Siswa,Danendra Gunawan,24250231,siswa0231,danendra.gunawan.24250231@siswa.belajar.id,24250231,X TKJ 2,0824020031,Sandi Default
111,Siswa,Intan Sujatmiko,24250232,siswa0232,intan.sujatmiko.24250232@siswa.belajar.id,24250232,X TKJ 2,0824020032,Sandi Default
112,Siswa,Revan Nugroho,24250233,siswa0233,revan.nugroho.24250233@siswa.belajar.id,24250233,X TKJ 2,0824020033,Sandi Default
113,Siswa,Zaskia Suryanto,24250234,siswa0234,zaskia.suryanto.24250234@siswa.belajar.id,24250234,X TKJ 2,0824020034,Sandi Default
114,Siswa,M. Rizky Wibowo,24250301,siswa0301,m.rizky.wibowo.24250301@siswa.belajar.id,24250301,X TKJ 3,0824030001,Sandi Default
115,Siswa,Salma Ramadhan,24250302,siswa0302,salma.ramadhan.24250302@siswa.belajar.id,24250302,X TKJ 3,0824030002,Sandi Default
116,Siswa,Alif Firmansyah,24250303,siswa0303,alif.firmansyah.24250303@siswa.belajar.id,24250303,X TKJ 3,0824030003,Sandi Default
117,Siswa,Dinda Hakim,24250304,siswa0304,dinda.hakim.24250304@siswa.belajar.id,24250304,X TKJ 3,0824030004,Sandi Default
118,Siswa,M. Zidan Anggraini,24250305,siswa0305,m.zidan.anggraini.24250305@siswa.belajar.id,24250305,X TKJ 3,0824030005,Sandi Default
119,Siswa,Shifa Wardhana,24250306,siswa0306,shifa.wardhana.24250306@siswa.belajar.id,24250306,X TKJ 3,0824030006,Sandi Default
120,Siswa,Ardi Utomo,24250307,siswa0307,ardi.utomo.24250307@siswa.belajar.id,24250307,X TKJ 3,0824030007,Sandi Default
121,Siswa,Febriana Kuswanto,24250308,siswa0308,febriana.kuswanto.24250308@siswa.belajar.id,24250308,X TKJ 3,0824030008,Sandi Default
122,Siswa,Pratama Kusuma,24250309,siswa0309,pratama.kusuma.24250309@siswa.belajar.id,24250309,X TKJ 3,0824030009,Sandi Default
123,Siswa,Syifa Mahendra,24250310,siswa0310,syifa.mahendra.24250310@siswa.belajar.id,24250310,X TKJ 3,0824030010,Sandi Default
124,Siswa,Bagas Baskara,24250311,siswa0311,bagas.baskara.24250311@siswa.belajar.id,24250311,X TKJ 3,0824030011,Sandi Default
125,Siswa,Gita Permatasari,24250312,siswa0312,gita.permatasari.24250312@siswa.belajar.id,24250312,X TKJ 3,0824030012,Sandi Default
126,Siswa,Rafi Maulana,24250313,siswa0313,rafi.maulana.24250313@siswa.belajar.id,24250313,X TKJ 3,0824030013,Sandi Default
127,Siswa,Tiara Setiawan,24250314,siswa0314,tiara.setiawan.24250314@siswa.belajar.id,24250314,X TKJ 3,0824030014,Sandi Default
128,Siswa,Bima Suhendra,24250315,siswa0315,bima.suhendra.24250315@siswa.belajar.id,24250315,X TKJ 3,0824030015,Sandi Default
129,Siswa,Indah Putra,24250316,siswa0316,indah.putra.24250316@siswa.belajar.id,24250316,X TKJ 3,0824030016,Sandi Default
130,Siswa,Rendi Kurnia,24250317,siswa0317,rendi.kurnia.24250317@siswa.belajar.id,24250317,X TKJ 3,0824030017,Sandi Default
131,Siswa,Zahra Pramudya,24250318,siswa0318,zahra.pramudya.24250318@siswa.belajar.id,24250318,X TKJ 3,0824030018,Sandi Default
132,Siswa,Daffa Lestari,24250319,siswa0319,daffa.lestari.24250319@siswa.belajar.id,24250319,X TKJ 3,0824030019,Sandi Default
133,Siswa,Jessica Syahputra,24250320,siswa0320,jessica.syahputra.24250320@siswa.belajar.id,24250320,X TKJ 3,0824030020,Sandi Default
134,Siswa,Rian Wicaksono,24250321,siswa0321,rian.wicaksono.24250321@siswa.belajar.id,24250321,X TKJ 3,0824030021,Sandi Default
135,Siswa,Adinda Purnomo,24250322,siswa0322,adinda.purnomo.24250322@siswa.belajar.id,24250322,X TKJ 3,0824030022,Sandi Default
136,Siswa,Desta Saputra,24250323,siswa0323,desta.saputra.24250323@siswa.belajar.id,24250323,X TKJ 3,0824030023,Sandi Default
137,Siswa,Keisha Safitri,24250324,siswa0324,keisha.safitri.24250324@siswa.belajar.id,24250324,X TKJ 3,0824030024,Sandi Default
138,Siswa,Tegar Mahardika,24250325,siswa0325,tegar.mahardika.24250325@siswa.belajar.id,24250325,X TKJ 3,0824030025,Sandi Default
139,Siswa,Alifa Gunawan,24250326,siswa0326,alifa.gunawan.24250326@siswa.belajar.id,24250326,X TKJ 3,0824030026,Sandi Default
140,Siswa,Fadhil Sujatmiko,24250327,siswa0327,fadhil.sujatmiko.24250327@siswa.belajar.id,24250327,X TKJ 3,0824030027,Sandi Default
141,Siswa,Laras Nugroho,24250328,siswa0328,laras.nugroho.24250328@siswa.belajar.id,24250328,X TKJ 3,0824030028,Sandi Default
142,Siswa,Wawan Suryanto,24250329,siswa0329,wawan.suryanto.24250329@siswa.belajar.id,24250329,X TKJ 3,0824030029,Sandi Default
143,Siswa,Anindya Pratama,24250330,siswa0330,anindya.pratama.24250330@siswa.belajar.id,24250330,X TKJ 3,0824030030,Sandi Default
144,Siswa,Farhan Wahyuni,24250331,siswa0331,farhan.wahyuni.24250331@siswa.belajar.id,24250331,X TKJ 3,0824030031,Sandi Default
145,Siswa,Maulida Haikal,24250332,siswa0332,maulida.haikal.24250332@siswa.belajar.id,24250332,X TKJ 3,0824030032,Sandi Default
146,Siswa,Yusuf Santoso,24250333,siswa0333,yusuf.santoso.24250333@siswa.belajar.id,24250333,X TKJ 3,0824030033,Sandi Default
147,Siswa,Annisa Sudrajat,24250334,siswa0334,annisa.sudrajat.24250334@siswa.belajar.id,24250334,X TKJ 3,0824030034,Sandi Default
148,Siswa,Rangga Wardhana,24250401,siswa0401,rangga.wardhana.24250401@siswa.belajar.id,24250401,X TKP 1,0824040001,Sandi Default
149,Siswa,Vania Utomo,24250402,siswa0402,vania.utomo.24250402@siswa.belajar.id,24250402,X TKP 1,0824040002,Sandi Default
150,Siswa,Danendra Kuswanto,24250403,siswa0403,danendra.kuswanto.24250403@siswa.belajar.id,24250403,X TKP 1,0824040003,Sandi Default
151,Siswa,Intan Kusuma,24250404,siswa0404,intan.kusuma.24250404@siswa.belajar.id,24250404,X TKP 1,0824040004,Sandi Default
152,Siswa,Revan Mahendra,24250405,siswa0405,revan.mahendra.24250405@siswa.belajar.id,24250405,X TKP 1,0824040005,Sandi Default
153,Siswa,Zaskia Baskara,24250406,siswa0406,zaskia.baskara.24250406@siswa.belajar.id,24250406,X TKP 1,0824040006,Sandi Default
154,Siswa,Dennis Permatasari,24250407,siswa0407,dennis.permatasari.24250407@siswa.belajar.id,24250407,X TKP 1,0824040007,Sandi Default
155,Siswa,Kayla Maulana,24250408,siswa0408,kayla.maulana.24250408@siswa.belajar.id,24250408,X TKP 1,0824040008,Sandi Default
156,Siswa,Satria Setiawan,24250409,siswa0409,satria.setiawan.24250409@siswa.belajar.id,24250409,X TKP 1,0824040009,Sandi Default
